road_segment,road_category,day_of_week,hour_of_day,current_speed,avg_speed_last_15min,avg_speed_last_30min,weather_condition,is_peak_hour,future_speedband
Ayer Rajah Expressway,Y,1,3,34.7,36.3,32.3,Thunderstorm,0,5
Upper Thomson Road,B,1,14,46.0,51.5,40.9,Haze,0,5
Woodlands Avenue 12,B,6,3,30.2,32.9,34.2,Rain,0,4
Pan Island Expressway,Y,5,15,62.4,65.6,58.6,Rain,0,6
Tampines Expressway,Y,0,2,69.4,73.2,69.5,Mist,0,7
Tampines Expressway,Y,3,18,42.1,45.6,36.3,Haze,1,5
Kallang Paya Lebar Expressway,Y,2,9,41.2,42.8,41.8,Clouds,1,5
Nicoll Highway,B,0,14,49.1,49.2,41.1,Haze,0,6
Central Expressway,Y,5,14,38.7,38.6,35.8,Thunderstorm,0,4
Kallang Paya Lebar Expressway,Y,2,17,20.3,18.5,31.8,Rain,1,2
Bukit Timah Expressway,Y,5,15,70.3,70.9,78.2,Clear,0,8
East Coast Parkway,Y,5,10,51.4,49.9,47.6,Thunderstorm,0,5
Ayer Rajah Expressway,Y,0,10,73.5,79.4,65.8,Mist,0,8
Upper Thomson Road,B,0,14,40.4,47.5,38.6,Drizzle,0,4
Nicoll Highway,B,3,7,34.3,35.4,24.1,Mist,1,3
Central Expressway,Y,6,1,52.7,54.9,45.9,Rain,0,5
Clementi Avenue 3,C,2,15,33.1,36.4,35.5,Mist,0,4
Clementi Avenue 3,C,2,17,23.1,20.4,20.6,Clouds,1,3
Woodlands Avenue 12,B,4,3,44.5,47.5,39.8,Clouds,0,5
East Coast Parkway,Y,4,16,74.3,72.3,72.7,Clear,0,8
Bukit Timah Expressway,Y,3,20,48.5,49.3,50.7,Mist,1,6
Central Expressway,Y,1,19,50.0,53.8,45.7,Clear,1,5
Ayer Rajah Expressway,Y,2,8,16.8,17.5,14.2,Thunderstorm,1,2
Kallang Paya Lebar Expressway,Y,5,23,58.0,61.7,54.7,Drizzle,0,7
Pan Island Expressway,Y,3,1,76.3,82.3,79.3,Clouds,0,8
Seletar Expressway,Y,0,20,48.4,50.7,49.1,Clear,1,5
Nicoll Highway,B,0,1,55.0,55.9,58.7,Clouds,0,6
Upper Thomson Road,B,1,13,48.3,50.4,51.0,Clear,0,5
Orchard Road,B,3,18,24.5,26.5,21.2,Haze,1,3
East Coast Parkway,Y,1,2,82.0,83.6,91.9,Clear,0,8
Nicoll Highway,B,1,8,32.5,33.6,36.7,Mist,1,4
Tampines Expressway,Y,1,3,41.1,40.7,38.1,Thunderstorm,0,4
East Coast Parkway,Y,0,12,78.5,80.1,81.3,Clear,0,8
Clementi Avenue 3,C,4,21,32.0,28.4,37.3,Drizzle,0,4
Tampines Expressway,Y,4,21,72.9,73.4,76.0,Mist,0,8
Tampines Expressway,Y,0,2,70.3,66.2,65.4,Mist,0,7
Pan Island Expressway,Y,5,8,53.8,50.3,53.2,Rain,0,6
Tampines Expressway,Y,1,15,39.9,43.4,38.4,Thunderstorm,0,5
Woodlands Avenue 12,B,4,15,45.0,43.4,45.2,Clear,0,5
Ayer Rajah Expressway,Y,0,2,59.8,63.4,71.0,Drizzle,0,7
Pan Island Expressway,Y,2,18,46.0,44.2,41.4,Haze,1,5
Bedok North Avenue 3,C,0,17,22.5,27.0,17.1,Haze,1,3
Nicoll Highway,B,3,13,48.6,45.1,54.2,Haze,0,5
Tampines Avenue 10,B,2,0,38.4,34.4,42.8,Drizzle,0,4
Central Expressway,Y,6,12,67.3,68.3,64.1,Mist,0,8
Ayer Rajah Expressway,Y,2,12,59.8,64.6,57.3,Drizzle,0,7
Ayer Rajah Expressway,Y,4,12,78.0,77.0,77.1,Clear,0,8
Bukit Timah Expressway,Y,6,0,71.5,70.3,80.2,Clear,0,8
Ayer Rajah Expressway,Y,6,7,38.7,41.9,36.7,Thunderstorm,0,4
Tampines Expressway,Y,2,3,43.2,45.1,45.4,Thunderstorm,0,5
Clementi Avenue 3,C,4,0,32.8,35.7,48.2,Drizzle,0,4
Upper Thomson Road,B,3,4,32.5,34.4,31.6,Rain,0,4
Seletar Expressway,Y,1,23,46.3,48.6,38.3,Thunderstorm,0,5
Bukit Timah Expressway,Y,5,1,37.6,37.8,34.2,Thunderstorm,0,4
Seletar Expressway,Y,6,12,75.4,74.6,74.2,Clouds,0,8
Upper Thomson Road,B,3,14,46.5,48.8,39.2,Clouds,0,5
Central Expressway,Y,2,3,57.6,58.9,61.7,Drizzle,0,6
Ayer Rajah Expressway,Y,6,23,50.3,47.2,51.1,Rain,0,6
Orchard Road,B,2,6,19.4,19.5,18.0,Thunderstorm,0,3
Clementi Avenue 3,C,1,7,18.2,18.2,15.2,Mist,1,3
Upper Thomson Road,B,2,22,38.6,44.2,35.3,Mist,0,4
Seletar Expressway,Y,5,18,60.5,57.3,51.9,Drizzle,0,6
Bukit Timah Expressway,Y,5,13,51.4,45.8,48.9,Rain,0,6
Tampines Expressway,Y,1,10,53.3,55.4,61.7,Rain,0,6
Upper Thomson Road,B,2,14,33.7,34.1,31.9,Rain,0,3
Tampines Avenue 10,B,2,9,24.1,24.1,23.5,Mist,1,3
Pan Island Expressway,Y,5,11,54.9,60.5,58.9,Rain,0,5
East Coast Parkway,Y,3,22,72.4,70.4,72.9,Haze,0,8
Upper Thomson Road,B,5,2,43.8,47.1,42.2,Haze,0,5
Woodlands Avenue 12,B,3,1,33.6,39.4,37.2,Rain,0,4
Clementi Avenue 3,C,5,3,24.1,24.4,17.0,Thunderstorm,0,2
Upper Thomson Road,B,2,11,26.3,30.6,31.0,Rain,0,3
Ayer Rajah Expressway,Y,1,7,25.4,19.0,24.3,Rain,1,3
Upper Thomson Road,B,0,21,40.2,42.8,45.6,Rain,0,5
East Coast Parkway,Y,1,18,43.4,42.6,44.6,Drizzle,1,5
Kallang Paya Lebar Expressway,Y,5,17,76.0,75.3,82.6,Clouds,0,8
Bedok North Avenue 3,C,6,9,33.9,35.5,28.7,Mist,0,4
Bukit Timah Expressway,Y,1,1,71.5,72.6,70.0,Clear,0,8
East Coast Parkway,Y,0,12,82.0,81.1,74.1,Clear,0,8
East Coast Parkway,Y,2,15,78.1,82.8,77.2,Clouds,0,8
Seletar Expressway,Y,5,7,69.0,71.6,64.9,Clouds,0,7
Seletar Expressway,Y,5,21,51.1,55.9,56.3,Rain,0,5
Tampines Avenue 10,B,3,14,38.7,41.5,37.4,Drizzle,0,4
Clementi Avenue 3,C,0,19,27.0,23.2,26.2,Clear,1,4
Kallang Paya Lebar Expressway,Y,5,7,68.9,71.1,72.8,Haze,0,8
Bedok North Avenue 3,C,4,21,31.7,32.3,34.5,Drizzle,0,3
East Coast Parkway,Y,2,5,68.5,74.6,63.4,Drizzle,0,7
Pan Island Expressway,Y,6,18,64.6,65.9,62.7,Drizzle,0,8
Pan Island Expressway,Y,6,10,73.9,81.2,67.0,Clouds,0,8
Seletar Expressway,Y,4,0,60.2,60.1,63.4,Drizzle,0,6
Orchard Road,B,3,0,41.5,44.1,47.5,Clear,0,4
Central Expressway,Y,4,7,41.7,44.9,41.4,Clouds,1,5
Orchard Road,B,6,20,39.1,42.7,35.8,Mist,0,4
Orchard Road,B,4,20,19.2,15.2,11.4,Rain,1,3
Central Expressway,Y,3,22,64.0,62.8,70.8,Mist,0,7
Bukit Timah Expressway,Y,6,19,62.4,63.4,61.2,Mist,0,8
Central Expressway,Y,1,6,58.5,59.4,57.7,Mist,0,6
Ayer Rajah Expressway,Y,4,11,65.6,67.2,68.4,Mist,0,6
Bukit Timah Expressway,Y,2,2,57.6,57.8,54.4,Drizzle,0,6
Tampines Expressway,Y,4,22,36.9,38.2,50.0,Thunderstorm,0,5
Upper Thomson Road,B,5,18,46.6,44.2,43.1,Clear,0,5
Clementi Avenue 3,C,1,23,34.3,32.0,36.9,Haze,0,4
Nicoll Highway,B,0,13,52.2,54.2,51.5,Clouds,0,6
Tampines Expressway,Y,0,7,51.8,52.6,52.0,Clouds,1,6
East Coast Parkway,Y,6,13,72.2,74.1,73.6,Mist,0,8
Central Expressway,Y,1,16,69.9,68.6,67.5,Clouds,0,8
Seletar Expressway,Y,2,6,53.4,55.3,67.4,Rain,0,6
Orchard Road,B,1,6,31.1,29.2,30.2,Rain,0,4
Nicoll Highway,B,3,15,29.7,25.9,31.7,Thunderstorm,0,3
Central Expressway,Y,3,10,70.0,73.5,74.6,Clouds,0,8
Ayer Rajah Expressway,Y,4,16,56.3,57.9,61.8,Rain,0,6
Orchard Road,B,1,13,38.6,33.0,33.9,Drizzle,0,5
Nicoll Highway,B,4,23,54.0,52.5,51.6,Clear,0,6
Bukit Timah Expressway,Y,3,17,48.1,43.1,42.8,Haze,1,6
Kallang Paya Lebar Expressway,Y,3,3,70.4,73.3,57.3,Clouds,0,7
Pan Island Expressway,Y,6,3,63.3,61.7,62.1,Drizzle,0,7
Central Expressway,Y,3,21,64.5,67.4,70.7,Mist,0,7
Orchard Road,B,1,7,23.0,23.7,17.4,Drizzle,1,2
Ayer Rajah Expressway,Y,1,22,66.0,67.7,65.3,Drizzle,0,7
Upper Thomson Road,B,5,14,35.3,35.6,23.6,Rain,0,4
Kallang Paya Lebar Expressway,Y,5,2,50.4,46.3,48.7,Rain,0,6
Tampines Expressway,Y,5,2,71.1,67.5,74.7,Clouds,0,7
Central Expressway,Y,0,14,75.0,75.9,77.8,Clear,0,8
Central Expressway,Y,6,6,36.9,33.5,38.5,Thunderstorm,0,4
Orchard Road,B,6,12,43.5,41.2,43.8,Clouds,0,4
Woodlands Avenue 12,B,2,2,20.7,13.7,15.4,Thunderstorm,0,3
Ayer Rajah Expressway,Y,0,23,54.3,56.2,57.6,Rain,0,5
East Coast Parkway,Y,4,2,75.6,72.5,68.1,Clear,0,8
Kallang Paya Lebar Expressway,Y,2,12,72.1,71.2,68.8,Clouds,0,8
Woodlands Avenue 12,B,1,22,45.0,45.0,49.4,Clouds,0,5
Tampines Expressway,Y,6,5,69.2,70.3,74.7,Mist,0,8
Clementi Avenue 3,C,4,11,22.1,22.4,20.6,Thunderstorm,0,2
Upper Thomson Road,B,5,20,38.7,38.5,38.5,Drizzle,0,4
Tampines Avenue 10,B,3,6,34.5,28.5,30.7,Rain,0,4
Ayer Rajah Expressway,Y,3,10,54.8,53.4,53.6,Rain,0,6
Bukit Timah Expressway,Y,5,16,65.5,66.2,66.7,Haze,0,8
Nicoll Highway,B,6,4,51.2,53.5,52.8,Haze,0,6
Kallang Paya Lebar Expressway,Y,3,13,38.2,39.5,44.2,Thunderstorm,0,4
Bukit Timah Expressway,Y,6,22,52.8,50.8,57.9,Rain,0,6
Orchard Road,B,3,4,38.6,45.3,45.7,Mist,0,4
Kallang Paya Lebar Expressway,Y,4,15,60.4,61.2,63.8,Drizzle,0,7
Orchard Road,B,3,12,41.1,41.1,42.1,Haze,0,5
Bedok North Avenue 3,C,2,20,7.6,9.5,6.8,Thunderstorm,1,1
Kallang Paya Lebar Expressway,Y,4,3,65.2,65.7,76.2,Haze,0,7
Pan Island Expressway,Y,0,12,60.8,56.5,56.0,Drizzle,0,7
Upper Thomson Road,B,0,12,43.6,43.3,45.6,Drizzle,0,5
Tampines Avenue 10,B,0,9,22.1,24.2,25.0,Rain,1,3
Kallang Paya Lebar Expressway,Y,0,1,65.3,66.5,61.2,Haze,0,7
Ayer Rajah Expressway,Y,0,5,41.7,45.9,35.6,Thunderstorm,0,4
Tampines Expressway,Y,1,7,43.6,46.2,44.0,Haze,1,5
Ayer Rajah Expressway,Y,5,3,63.3,65.6,74.7,Mist,0,7
Ayer Rajah Expressway,Y,6,11,78.0,80.5,80.2,Clear,0,8
Bedok North Avenue 3,C,0,21,35.3,37.6,23.2,Clear,0,4
Pan Island Expressway,Y,6,18,64.4,66.0,60.4,Mist,0,7
Pan Island Expressway,Y,1,2,50.2,52.4,45.2,Rain,0,6
Bukit Timah Expressway,Y,2,0,67.7,64.8,72.8,Clouds,0,7
Woodlands Avenue 12,B,2,6,29.5,30.1,24.5,Rain,0,4
Bukit Timah Expressway,Y,5,20,60.9,65.2,51.7,Drizzle,0,7
Bukit Timah Expressway,Y,2,6,60.2,61.3,56.0,Mist,0,6
Ayer Rajah Expressway,Y,3,12,67.9,63.9,61.3,Clouds,0,8
Orchard Road,B,5,21,39.8,39.5,42.3,Haze,0,5
Orchard Road,B,0,18,17.8,14.6,15.2,Mist,1,2
Bukit Timah Expressway,Y,6,20,63.7,59.4,75.5,Drizzle,0,7
Pan Island Expressway,Y,6,3,69.8,72.8,73.9,Haze,0,8
Ayer Rajah Expressway,Y,5,14,68.9,62.8,70.5,Clear,0,7
Nicoll Highway,B,1,17,13.5,13.5,17.9,Rain,1,2
Tampines Avenue 10,B,0,15,43.3,42.9,50.2,Haze,0,5
Nicoll Highway,B,0,20,33.2,43.0,27.2,Mist,1,4
Bedok North Avenue 3,C,2,1,28.2,31.7,31.7,Rain,0,3
Bedok North Avenue 3,C,0,20,15.9,15.7,19.1,Rain,1,2
Pan Island Expressway,Y,4,13,78.8,79.5,78.7,Clear,0,8
Kallang Paya Lebar Expressway,Y,3,4,66.8,68.2,57.6,Mist,0,7
Bukit Timah Expressway,Y,4,11,56.6,57.5,62.2,Drizzle,0,6
Seletar Expressway,Y,5,14,54.7,58.2,53.8,Rain,0,5
Woodlands Avenue 12,B,1,4,20.0,22.3,18.8,Thunderstorm,0,2
Tampines Expressway,Y,1,11,74.6,73.4,83.1,Clouds,0,8
Orchard Road,B,0,18,25.3,22.7,31.7,Clouds,1,3
Seletar Expressway,Y,5,18,71.3,70.0,76.8,Clouds,0,7
Orchard Road,B,3,9,24.9,25.9,13.0,Haze,1,3
Upper Thomson Road,B,6,18,43.9,43.7,47.0,Clouds,0,5
Bukit Timah Expressway,Y,1,5,33.8,34.1,29.1,Thunderstorm,0,4
Woodlands Avenue 12,B,5,21,38.4,34.8,46.0,Drizzle,0,5
Tampines Expressway,Y,2,7,45.9,45.2,35.7,Drizzle,1,6
Clementi Avenue 3,C,3,11,28.5,21.7,30.5,Drizzle,0,4
Tampines Expressway,Y,1,8,33.8,31.5,38.0,Rain,1,4
Seletar Expressway,Y,1,23,60.9,59.1,50.0,Drizzle,0,7
Central Expressway,Y,6,6,58.6,56.8,52.9,Haze,0,7
Upper Thomson Road,B,2,23,41.9,37.9,51.6,Mist,0,5
Tampines Expressway,Y,1,2,68.3,70.1,60.2,Mist,0,8
Pan Island Expressway,Y,0,8,47.6,48.4,47.9,Clouds,1,5
Tampines Avenue 10,B,5,11,24.0,28.6,23.6,Thunderstorm,0,3
Tampines Avenue 10,B,5,12,24.1,23.7,27.8,Thunderstorm,0,3
Upper Thomson Road,B,6,5,44.0,48.1,49.8,Mist,0,5
Pan Island Expressway,Y,6,16,69.6,65.4,68.7,Mist,0,7
Bukit Timah Expressway,Y,0,2,53.1,58.8,57.3,Rain,0,6
Kallang Paya Lebar Expressway,Y,4,11,61.7,61.6,56.6,Haze,0,7
East Coast Parkway,Y,3,16,82.0,79.7,80.8,Clear,0,8
Seletar Expressway,Y,2,16,68.4,66.7,69.5,Clear,0,7
Woodlands Avenue 12,B,1,0,39.0,39.0,37.4,Mist,0,5
Kallang Paya Lebar Expressway,Y,5,4,60.5,58.5,63.1,Mist,0,7
Woodlands Avenue 12,B,5,23,38.3,39.6,39.4,Mist,0,4
Nicoll Highway,B,6,11,47.9,53.2,43.4,Clouds,0,5
Bedok North Avenue 3,C,0,9,15.4,16.1,12.9,Drizzle,1,1
Woodlands Avenue 12,B,6,5,45.0,47.2,40.0,Haze,0,5
Nicoll Highway,B,3,6,44.9,45.2,49.7,Drizzle,0,5
Tampines Avenue 10,B,6,21,28.1,24.9,29.7,Thunderstorm,0,3
Seletar Expressway,Y,1,10,71.3,69.2,78.5,Clouds,0,8
Ayer Rajah Expressway,Y,6,5,71.2,68.5,72.7,Clouds,0,7
Clementi Avenue 3,C,1,5,33.7,35.4,33.8,Haze,0,3
Tampines Avenue 10,B,2,21,42.7,40.6,44.5,Haze,0,5
Ayer Rajah Expressway,Y,3,13,75.4,77.3,71.7,Clear,0,8
Nicoll Highway,B,0,15,50.9,52.8,53.1,Clouds,0,6
Seletar Expressway,Y,5,23,64.8,67.9,66.6,Mist,0,7
Clementi Avenue 3,C,2,17,23.2,23.6,29.6,Clouds,1,3
Bedok North Avenue 3,C,3,23,30.6,33.1,38.3,Mist,0,4
Kallang Paya Lebar Expressway,Y,0,8,42.5,41.4,44.2,Clouds,1,5
Nicoll Highway,B,2,14,43.7,43.4,44.6,Drizzle,0,4
Tampines Avenue 10,B,5,8,47.7,46.4,44.4,Clear,0,5
Central Expressway,Y,4,5,61.3,58.0,61.1,Drizzle,0,7
Orchard Road,B,0,5,41.5,39.4,36.3,Clouds,0,4
Seletar Expressway,Y,6,2,67.5,58.1,62.3,Haze,0,7
Bukit Timah Expressway,Y,4,23,66.6,66.5,62.4,Drizzle,0,7
Ayer Rajah Expressway,Y,4,6,54.6,55.9,52.4,Rain,0,6
Upper Thomson Road,B,0,10,46.0,41.1,44.2,Clear,0,5
Orchard Road,B,4,23,36.9,42.5,33.0,Drizzle,0,3
Ayer Rajah Expressway,Y,3,11,43.7,44.8,47.7,Thunderstorm,0,4
Kallang Paya Lebar Expressway,Y,4,20,22.5,20.6,19.0,Rain,1,2
Woodlands Avenue 12,B,0,9,23.3,24.1,19.6,Mist,1,3
Seletar Expressway,Y,4,10,68.7,71.1,66.3,Haze,0,7
Kallang Paya Lebar Expressway,Y,3,15,68.1,65.7,70.9,Clouds,0,7
Tampines Avenue 10,B,1,14,47.2,49.8,45.4,Haze,0,5
Kallang Paya Lebar Expressway,Y,5,2,76.0,76.7,81.6,Clear,0,8
Pan Island Expressway,Y,4,3,60.3,67.0,49.1,Drizzle,0,6
Tampines Expressway,Y,6,2,73.5,72.7,72.9,Clear,0,8
Central Expressway,Y,1,6,63.1,59.9,54.4,Haze,0,7
Bedok North Avenue 3,C,2,10,19.7,20.2,24.0,Thunderstorm,0,2
Orchard Road,B,2,9,11.9,15.5,13.7,Thunderstorm,1,1
Central Expressway,Y,5,2,55.7,54.7,59.0,Mist,0,6
Clementi Avenue 3,C,1,11,21.4,20.4,27.5,Thunderstorm,0,2
Bedok North Avenue 3,C,6,21,35.0,40.9,37.9,Clouds,0,3
Tampines Avenue 10,B,1,11,46.9,48.0,51.1,Clear,0,5
Central Expressway,Y,6,9,61.1,64.0,58.8,Drizzle,0,6
Upper Thomson Road,B,2,17,22.1,20.9,22.0,Rain,1,3
Upper Thomson Road,B,5,8,47.4,43.3,45.0,Clouds,0,5
Upper Thomson Road,B,6,12,42.4,41.7,48.8,Haze,0,4
Tampines Expressway,Y,4,5,58.7,56.5,48.6,Mist,0,6
Clementi Avenue 3,C,1,3,31.6,28.2,31.4,Mist,0,4
Pan Island Expressway,Y,4,0,64.4,63.8,74.6,Drizzle,0,6
Kallang Paya Lebar Expressway,Y,0,11,64.6,63.9,56.6,Drizzle,0,7
Tampines Avenue 10,B,1,7,30.2,29.2,41.0,Clouds,1,4
Seletar Expressway,Y,1,16,64.2,62.9,68.9,Mist,0,7
Orchard Road,B,2,5,22.3,21.5,24.5,Thunderstorm,0,3
Clementi Avenue 3,C,5,16,20.8,16.4,15.3,Thunderstorm,0,2
Pan Island Expressway,Y,5,12,66.3,65.0,55.9,Drizzle,0,7
Bukit Timah Expressway,Y,2,15,38.7,35.8,36.1,Thunderstorm,0,4
Nicoll Highway,B,0,1,49.1,49.4,40.5,Mist,0,5
Woodlands Avenue 12,B,0,5,38.6,34.7,31.5,Mist,0,5
Nicoll Highway,B,6,3,43.9,41.2,52.6,Mist,0,5
Orchard Road,B,0,13,43.5,40.6,45.4,Clouds,0,5
Kallang Paya Lebar Expressway,Y,1,22,74.3,75.4,74.2,Clouds,0,8
Kallang Paya Lebar Expressway,Y,1,10,67.5,73.7,67.9,Drizzle,0,6
Bedok North Avenue 3,C,5,4,31.9,30.4,28.7,Mist,0,4
Woodlands Avenue 12,B,5,22,36.5,32.3,41.4,Drizzle,0,3
Pan Island Expressway,Y,0,16,58.4,56.3,61.3,Rain,0,6
Bedok North Avenue 3,C,5,19,19.0,19.8,16.5,Thunderstorm,0,3
Kallang Paya Lebar Expressway,Y,5,18,34.1,37.3,32.4,Thunderstorm,0,4
Kallang Paya Lebar Expressway,Y,4,14,50.9,52.2,52.1,Rain,0,5
Central Expressway,Y,5,22,66.9,63.1,59.8,Clouds,0,8
Bukit Timah Expressway,Y,1,0,73.8,76.5,69.9,Clear,0,8
East Coast Parkway,Y,2,20,34.1,33.6,38.2,Drizzle,1,3
Woodlands Avenue 12,B,4,5,32.0,27.6,35.6,Rain,0,3
Woodlands Avenue 12,B,3,22,41.3,35.9,30.7,Haze,0,5
East Coast Parkway,Y,6,7,80.4,81.7,81.1,Clear,0,8
East Coast Parkway,Y,4,0,75.7,75.9,75.9,Clouds,0,8
Seletar Expressway,Y,0,20,58.4,52.0,62.9,Clear,1,6
Tampines Avenue 10,B,1,16,46.3,50.0,46.5,Clear,0,5
Woodlands Avenue 12,B,4,4,41.6,41.9,40.5,Clouds,0,5
Ayer Rajah Expressway,Y,5,1,77.3,78.2,79.7,Clear,0,8
East Coast Parkway,Y,4,0,69.3,66.5,64.2,Drizzle,0,7
Kallang Paya Lebar Expressway,Y,5,10,48.5,51.2,46.6,Rain,0,5
East Coast Parkway,Y,2,9,40.1,45.0,43.0,Drizzle,1,5
Tampines Expressway,Y,6,7,73.3,72.3,72.9,Clear,0,8
Orchard Road,B,4,19,27.6,24.8,27.7,Clear,1,3
Woodlands Avenue 12,B,2,10,22.8,21.1,25.1,Thunderstorm,0,3
Nicoll Highway,B,1,1,47.6,52.4,43.8,Drizzle,0,5
Orchard Road,B,5,20,42.1,44.1,37.7,Mist,0,4
Tampines Avenue 10,B,2,7,19.1,23.9,20.0,Haze,1,2
Nicoll Highway,B,3,14,49.5,51.7,49.0,Drizzle,0,5
Tampines Expressway,Y,4,5,71.4,66.2,68.1,Haze,0,7
Ayer Rajah Expressway,Y,2,15,68.0,68.7,71.1,Clear,0,7
Tampines Expressway,Y,4,8,14.6,16.3,21.7,Thunderstorm,1,2
Tampines Avenue 10,B,5,20,25.0,23.6,20.3,Thunderstorm,0,3
Ayer Rajah Expressway,Y,4,18,32.5,28.5,34.4,Drizzle,1,4
Clementi Avenue 3,C,1,19,7.6,11.2,12.0,Thunderstorm,1,2
Seletar Expressway,Y,4,17,49.5,50.7,49.7,Clear,1,5
Upper Thomson Road,B,5,21,23.2,29.3,20.1,Thunderstorm,0,3
Pan Island Expressway,Y,5,3,79.0,76.9,82.9,Clear,0,8
Pan Island Expressway,Y,4,3,60.0,61.0,55.6,Drizzle,0,6
Tampines Avenue 10,B,1,5,35.2,36.7,29.0,Mist,0,3
Pan Island Expressway,Y,4,2,69.9,66.9,69.4,Mist,0,7
Pan Island Expressway,Y,0,10,55.7,53.8,58.7,Rain,0,6
East Coast Parkway,Y,4,9,61.0,56.4,62.9,Clouds,1,6
Bukit Timah Expressway,Y,6,6,58.6,61.4,67.5,Mist,0,7
Central Expressway,Y,3,3,68.9,66.7,68.7,Haze,0,8
Central Expressway,Y,6,22,41.9,46.4,50.9,Thunderstorm,0,5
Tampines Expressway,Y,2,17,47.1,48.6,46.2,Drizzle,1,5
Seletar Expressway,Y,1,19,41.2,43.3,33.6,Mist,1,4
Upper Thomson Road,B,0,0,33.3,34.9,36.1,Rain,0,4
Pan Island Expressway,Y,3,4,43.0,45.4,47.5,Thunderstorm,0,5
Tampines Expressway,Y,1,19,44.2,44.0,40.9,Mist,1,4
Tampines Avenue 10,B,6,16,45.3,48.3,41.2,Clouds,0,5
Seletar Expressway,Y,6,8,62.9,61.4,63.6,Drizzle,0,8
Bukit Timah Expressway,Y,6,15,64.6,64.6,73.5,Drizzle,0,7
East Coast Parkway,Y,3,6,82.0,82.0,80.4,Clear,0,8
Bedok North Avenue 3,C,1,14,34.0,38.6,39.7,Mist,0,3
Upper Thomson Road,B,3,4,45.4,40.5,41.3,Clouds,0,5
Nicoll Highway,B,6,7,54.6,49.3,60.5,Haze,0,6
Nicoll Highway,B,2,20,25.9,21.1,26.1,Drizzle,1,3
Upper Thomson Road,B,0,14,35.7,39.8,27.5,Rain,0,4
Ayer Rajah Expressway,Y,6,6,52.2,51.7,52.0,Rain,0,6
Orchard Road,B,2,16,44.2,39.7,45.8,Drizzle,0,4
Tampines Avenue 10,B,4,15,44.3,45.3,46.7,Clouds,0,5
Seletar Expressway,Y,5,7,72.3,67.5,72.1,Haze,0,8
Orchard Road,B,4,7,19.5,17.3,22.4,Drizzle,1,2
Woodlands Avenue 12,B,2,10,22.0,18.8,21.3,Thunderstorm,0,2
Pan Island Expressway,Y,1,13,67.1,66.2,64.7,Drizzle,0,7
Kallang Paya Lebar Expressway,Y,0,1,51.8,54.5,46.9,Rain,0,6
Bedok North Avenue 3,C,3,15,21.6,27.3,18.1,Thunderstorm,0,2
Tampines Expressway,Y,3,15,59.1,61.5,60.9,Drizzle,0,6
Upper Thomson Road,B,1,10,36.9,33.6,33.2,Drizzle,0,4
Central Expressway,Y,3,1,37.9,39.1,38.0,Thunderstorm,0,4
Nicoll Highway,B,6,10,55.0,57.4,50.1,Clear,0,6
Woodlands Avenue 12,B,4,21,36.3,37.7,37.4,Clouds,0,4
Central Expressway,Y,0,5,69.3,70.4,63.5,Clear,0,7
Orchard Road,B,4,8,26.0,27.8,20.0,Haze,1,3
Seletar Expressway,Y,5,20,58.6,60.8,57.8,Drizzle,0,7
Upper Thomson Road,B,6,18,46.1,44.4,39.4,Clouds,0,6
Ayer Rajah Expressway,Y,4,21,70.2,74.2,64.1,Clear,0,7
Upper Thomson Road,B,0,9,17.4,20.8,17.0,Rain,1,2
Tampines Expressway,Y,6,16,71.5,76.0,66.2,Haze,0,7
Tampines Avenue 10,B,2,1,41.9,42.1,42.8,Mist,0,5
Kallang Paya Lebar Expressway,Y,2,7,48.2,49.1,46.5,Haze,1,6
Bedok North Avenue 3,C,6,16,15.1,14.5,15.6,Thunderstorm,0,2
Seletar Expressway,Y,3,1,47.6,49.9,45.6,Thunderstorm,0,5
Tampines Expressway,Y,2,18,50.3,52.3,41.9,Mist,1,5
Clementi Avenue 3,C,1,21,35.8,37.8,45.4,Clear,0,3
Upper Thomson Road,B,5,17,36.5,37.8,42.3,Drizzle,0,4
Clementi Avenue 3,C,4,13,21.5,24.9,11.6,Thunderstorm,0,2
Bukit Timah Expressway,Y,0,17,40.3,42.6,43.3,Clouds,1,4
Seletar Expressway,Y,1,2,73.5,74.6,74.7,Clear,0,8
Bedok North Avenue 3,C,5,14,29.9,28.0,32.5,Drizzle,0,3
Seletar Expressway,Y,2,18,45.5,40.6,47.4,Clear,1,5
East Coast Parkway,Y,2,4,64.9,61.9,56.2,Drizzle,0,8
Kallang Paya Lebar Expressway,Y,3,3,57.8,57.0,65.0,Drizzle,0,7
Nicoll Highway,B,2,15,38.4,37.6,44.1,Drizzle,0,5
Tampines Expressway,Y,6,7,67.7,68.2,63.7,Drizzle,0,8
Clementi Avenue 3,C,6,18,37.8,37.8,35.5,Clear,0,5
Nicoll Highway,B,4,12,32.8,33.3,33.8,Thunderstorm,0,3
Woodlands Avenue 12,B,4,7,7.1,11.2,7.3,Thunderstorm,1,1
Orchard Road,B,3,3,45.0,47.3,50.7,Clear,0,5
East Coast Parkway,Y,1,5,65.3,63.1,64.7,Drizzle,0,7
Tampines Avenue 10,B,6,2,39.4,36.9,38.5,Mist,0,5
Tampines Expressway,Y,0,20,51.9,50.9,52.6,Clear,1,5
Nicoll Highway,B,1,21,38.7,38.5,44.3,Rain,0,5
Orchard Road,B,3,6,30.7,29.9,23.0,Rain,0,3
